path,text,label
../data/wechat/images/j27ttKHs7TlFAL5JRURv3XKx5YIIbGrf7OZfibrVRIibXzu2DelTc15XiaY6ZjYloDR9KByia4YehavSxZtoJY2Wcw.jpeg,国务院宣布：生孩子有补助了！明年1月起实施，浙江属于这档！,0
../data/wechat/images/0y9ibmULDTbDuCtzo6kY500ftDL32jCAJoEAwlDJnicSYfCHNgpMuoUCC6RC8SuQIyIpegDo4q3V8hX8Kf03Xeeg.jpeg,"4个年轻帅小伙突然人没了, 身亡真相惊呆所有人! 太可惜了",0
../data/wechat/images/9Ju9PZ1NxhfdGHMyWnu1Haq9DVYQTGUZl9EEI14jwEZqT9ovD68pAuluFDwyoaaWMdHuibfxh6AmqV5rGTtRhqw.jpeg,迪丽热巴时装周走秀气场一米八，病态妆容也挡不住她的高级感,0
../data/wechat/images/9Ju9PZ1Nxhd8SmKYybeN1btAFLYpFPgwMr66pmFgMkrzRvTAicYQlppUUOCtbon5xrsqcpekdlicpAL94iatLk4uQ.jpeg,李晨北京四合院内景曝光，还和妈妈一起吃饺子画面hin温馨,0
../data/wechat/images/oq1PymRl9D7ZOQUuQicI83MjxCwO4NBib1lCYrzBf1VPRva0WLVqvwptjLzssISfEc1PUicCr2QYkPAE4eCibuJicLQ.jpeg,唾液测天赋、饭后剧烈运动得阑尾炎...8月“科学”流言 你中招了吗？,0
../data/wechat/images/b2YlTLuGbKBSYZkO3oAsDiaSlfIiapWjplAPPX5WfU0tPddf91BrH72aichhH9QYbicxYumkJK73SJOm2JaoLz8jhg.jpeg,昆山龙哥之死,0
../data/wechat/images/b2YlTLuGbKBRmcKNNx8QXeibFQxOdPtyzicvicgiaSo3bqLic9s77WBmlh8HnwIt02yWSnRtxOc8Z9qDic48mmyTKhVQ.jpeg,粉丝暴民，堕入“魔道”,0
../data/wechat/images/b2YlTLuGbKBKIhfVuxjuW4iaQlbuhevJMhBLeXVLu9DRvo9oXBem3rt6Qb6NqOCw3CWWSBmBU5uUxRKe2Y7owcQ.jpeg,120天后范冰冰终于现身，8.84亿就能洗白了事？,0
../data/wechat/images/es4mVwiaJgaW8AIJwroj9YDKdRibYq3iasWwibFLPA7Pz7WHOSVlyDDNMVhuic6QPGnoyVtOH4l8Jo27HNyCPsneynw.jpeg,国务院宣布：生孩子有补助了！明年1月起实施，浙江属于这档！,0
../data/wechat/images/OLticHicicUPVKq6w8UhPtQn8mUyia6Q5PQNDNzUsOnhtHoTxaV6dJMroppPMmEDEDyCljWN6ukFtU7GLFLn5BAb0g.jpeg,《爱情公寓》的粉丝，请放过他好吗？！,0
../data/wechat/images/7lcCkbPa37nURKO2nxyibLiaEVibjpnicC3nwdiavxiayTDDjibGYDKAULMXCuRICODRrI8icmPthp85vciacPh26y8zwBA.jpeg,又一个贩卖给中国人的骗局被曝光！长春人你常喝的这个非但无益，甚至……,0
../data/wechat/images/cLgszOhcsy6h6F0yWWcCchuFibGoRxgr8M0cWd7wjqYtOsJ5Vgic7aphVtaLibWugJBcX4DWicsz6AfIodCWcv6hkg.jpeg,刚刚，南宁快环主线全线都通了！【930新闻眼】,0
